type,cue,movie
UNIT ,12919 - 13210,ut_315_kunchi_f.mp4
UNIT ,13571 - 13630,ut_306_swastik_f.mp4
UNIT ,14177 - 14239,ut_306_swastik_f.mp4
UNIT ,14828 - 15067,ut_328_pratya_f.mp4
UNIT ,16042 - 16270,ut_819_kash_f.mp4
UNIT ,16332 - 16515,ut_313_prustha_f.mp4
UNIT ,16622 - 16862,ut_309_chaukapada_f.mp4
UNIT ,16931 - 17055,ut_303_samapada_f.mp4
UNIT ,17122 - 17280,ut_328_pratya_f.mp4
UNIT ,17291 - 17400,ut_803_ekchauk_f.mp4
UNIT ,17951 - 18015,ut_312_dhanu_f.mp4
UNIT ,18498 - 18792,ut_310_mandala_f.mp4
UNIT ,20184 - 20781,ut_303_samapada_f.mp4
UNIT ,20892 - 21016,ut_313_prustha_f.mp4
UNIT ,24122 - 24315,ut_328_pratya_f.mp4
UNIT ,24540 - 24605,ut_803_ekchauk_f.mp4
UNIT ,24614 - 24781,ut_328_pratya_f.mp4
UNIT ,24798 - 24904,ut_313_prustha_f.mp4
UNIT ,25023 - 25090,ut_327_alidh_f.mp4
UNIT ,25264 - 25451,ut_809_kuntras_f.mp4
UNIT ,25810 - 25878,ut_328_pratya_f.mp4
UNIT ,26355 - 26471,ut_809_kuntras_f.mp4
UNIT ,26483 - 26711,ut_328_pratya_f.mp4
UNIT ,26895 - 27318,ut_303_samapada_f.mp4
UNIT ,27909 - 28508,ut_303_samapada_f.mp4
UNIT ,28568 - 28683,ut_315_kunchi_f.mp4
UNIT ,28762 - 29302,ut_315_kunchi_f.mp4
UNIT ,29773 - 30072,ut_310_mandala_f.mp4
UNIT ,31620 - 31868,ut_313_prustha_f.mp4
UNIT ,31980 - 32340,ut_303_samapada_f.mp4
UNIT ,34162 - 34382,ut_310_mandala_f.mp4
UNIT ,34454 - 36000 ​​,ut_303_samapada_f.mp4
UNIT ,0 - 319,ut_303_samapada_f.mp4
UNIT ,1042 - 1103,ut_811_viptri_f.mp4
UNIT ,1451 - 1518,ut_811_viptri_f.mp4
UNIT ,3250 - 3311,ut_803_ekchauk_f.mp4
UNIT ,3427 - 3483,ut_803_ekchauk_f.mp4
UNIT ,3609 - 3668,ut_803_ekchauk_f.mp4
UNIT ,3783 - 3844,ut_803_ekchauk_f.mp4
UNIT ,5324 - 5402,ut_306_swastik_f.mp4
